Observation Season;IAU code;Latin name;French name;English name;Constellation area in square degrees;Dec;RA;Principal star;Constellation area in %;Constellation zone (celestial equator);Constellation zone (ecliptic);Constellation zone (Milky Way);Quad;Name origin;Image
Southern hemisphere constellation / Constellation de l'hémisphère sud;Phe;Phoenix;Phénix;Phoenix;469.319;-47° 06,84';01:00,17;Ankaa;1,14 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Bayer;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/0f34af9a549e22accc5d442d0157ced1
Spring / Printemps;Vir;Virgo;Vierge;Virgin;1294.428;-00° 01,51';13:08,38;Spica;3,14 %;Equatorial constellation;Zodiacal constellation # 7;;South Hemisphere Quadrant 3;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/f80af65e8e4934c2225ae6e37c741dc1
Summer / Été;Sge;Sagitta;Flèche;Arrow;79.932;+18° 27,68';19:47,24;γ Sagittae;0,19 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 4;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/b2072ff2fb1ef561dd5474bd4ce502f2
Winter / Hiver;CMa;Canis Major;Grand Chien;Great Dog;380.118;-20° 57,42';06:55,76;Sirius;0,92 %;South constellation;South ecliptic constellation;Milky Way Equator;South Hemisphere Quadrant 2;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/b4b8120443712315163dac454abd2e7c
Autumn / Automne;Aur;Auriga;Cocher;Charioteer;657.438;+41° 57,68';05:26,64;Capella;1,59 %;North constellation;North ecliptic constellation;Milky Way Equator;North Hemisphere Quadrant 2;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/653d6da1b0f4937a87fa827d3571d543
Southern hemisphere constellation / Constellation de l'hémisphère sud;Cir;Circinus;Compas;Compass;93.353;-62° 11,82';15:05,42;α Circini;0,23 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 3;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/f123cfcaba60126784a418b3ea5b7d66
Southern hemisphere constellation / Constellation de l'hémisphère sud;Ant;Antlia;Machine pneumatique;Pump;238.901;-34° 10,01';10:21,46;α Antliae;0,58 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 2;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/86dae737394cdea302e26ac60a91530a
Summer / Été;Aqr;Aquarius;Verseau;Water Bearer;979.854;-06° 57,35';22:35,10;Sadalsuud;2,38 %;Equatorial constellation;Zodiacal constellation # 13;;South Hemisphere Quadrant 4;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/21efda4fe1764f7cd074dc473ffef5a5
Autumn / Automne;And;Andromeda;Andromède;Andromeda;722.278;+37° 53,91';00:32,02;Alpheratz;1,75 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 1;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/b3d7571d82e055f6958cb87422d13197
Spring / Printemps;Boo;Bootes;Bouvier;Herdsman;906.831;+33° 22,16';14:29,27;Arcturus;2,20 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 3;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/b0d1bf4e90d93e2fe196176863f3cc83
Autumn / Automne;Ari;Aries;Bélier;Ram;441.395;+22° 42,54';02:09,16;Hamal;1,07 %;North constellation;Zodiacal constellation # 2;;North Hemisphere Quadrant 1;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/2c52e690507bb10986f7e1d999fb7dc5
Spring / Printemps;Com;Coma Berenices;Chevelure de Bérénice;Hair of Berenice;386.475;+22° 41,34';13:05,79;β Comae Berenices;0,94 %;North constellation;North ecliptic constellation;Milky Way North pole;North Hemisphere Quadrant 3;Tycho Brahe;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/d3549f99b881b5b79c420d20e502fad2
Winter / Hiver;Hya;Hydra;Hydre;Hydra, Sea Snake;1302.844;-11° 49,91';10:16,73;Alphard;3,16 %;Equatorial constellation;South ecliptic constellation;;South Hemisphere Quadrant 2;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/ba18dd57b34aa98a780406c201fdd374
Summer / Été;Del;Delphinus;Dauphin;Dolphin;188.549;+15° 01,26';20:42,02;Rotanev;0,46 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 4;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/e91544fa27eb9ff9725ba97218ff587f
Spring / Printemps;Crv;Corvus;Corbeau;Crow;183.801;-20° 54,20';12:21,51;Gienah;0,45 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 3;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/72eb42a7382b6098f463954e673c26d5
Spring / Printemps;Dra;Draco;Dragon;Dragon;1082.952;+65° 59,40';17:15,88;Eltanin;2,63 %;North constellation;North ecliptic pole;;North Hemisphere Quadrant 3;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/f5753ae2b7a650d989d385d1356de1db
Autumn / Automne;Tau;Taurus;Taureau;Bull;797.249;+14° 57,63';04:18,04;Aldebaran;1,93 %;Equatorial constellation;Zodiacal constellation # 3;Milky Way Equator;North Hemisphere Quadrant 1;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/67eb15164a795fd1a13100b5e19963bf
Southern hemisphere constellation / Constellation de l'hémisphère sud;Oct;Octans;L’Octant;Octant;291.045;-84° 28,12';21:03,59;ν Octantis;0,71 %;South constellation - PSouth constellation;South ecliptic constellation;;South Hemisphere Quadrant 4;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/d6e59da28e8390ba3cf602ede2060169
Winter / Hiver;Sex;Sextans;Sextant;Sextans;313.515;-02° 16,88';10:18,94;α Sextantis;0,76 %;Equatorial constellation;South ecliptic constellation;;South Hemisphere Quadrant 2;Hevelius;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/5c407e7567fbd870e9785d045874dfaa
Southern hemisphere constellation / Constellation de l'hémisphère sud;Ind;Indus;Indien;Indian;294.006;-53° 20,40';21:07,33;α Indi;0,71 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 4;Bayer;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/095c8319327de753f6d191020e64df97
Southern hemisphere constellation / Constellation de l'hémisphère sud;Mus;Musca;Mouche;Fly;138.355;-69° 16,66';12:39,65;α Muscae;0,34 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 3;Bayer;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/7c0b20a3ea1d0568b801be421dfb66dc
Autumn / Automne;Psc;Pisces;Les Poissons;Fishes;889.417;+11° 04,23';00:40,00;Alpherg;2,16 %;Equatorial constellation;Zodiacal constellation # 1;;North Hemisphere Quadrant 1;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/82837d969439f8ab765a83fb56706020
Summer / Été;Peg;Pegasus;Pégase;Winged Horse;1120.794;+21° 53,98';22:53,50;Enif;2,72 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 4;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/88d13c5a401bc4e4e54f6d328123d011
Southern hemisphere constellation / Constellation de l'hémisphère sud;Tel;Telescopium;Télescope;Telescope;251.512;-46° 44,80';18:25,29;α Telescopii;0,61 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 4;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/d0896f553008acf02db135f26d7a6ab5
Southern hemisphere constellation / Constellation de l'hémisphère sud;Cae;Caelum;Burin;Chisel;124.865;-39° 43,90';04:45,53;α Caeli;0,30 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/a15c759dea4c7b253cd502d3e6722486
Summer / Été;Equ;Equuleus;Petit Cheval;Little Horse;71.641;+08° 57,49';21:15,24;Kitalpha;0,17 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 4;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/937ee121db9d1b0b3ded9c2c55703140
Autumn / Automne;Eri;Eridanus;Éridan;Eridanus;1137.919;-25° 48,37';03:37,37;Achernar;2,76 %;Equatorial constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/2a3b6d9bae58eac791e5b4c92e73933d
Southern hemisphere constellation / Constellation de l'hémisphère sud;Hyi;Hydrus;Hydre mâle;Lesser Snake;243.035;-70° 57,39';02:12,65;β Hydri;0,59 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Bayer;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/72c9ebbb00751d206cc1e3bde0aa44c9
Summer / Été;CrB;Corona Borealis;Couronne boréale;Northern Crown;178.71;+27° 34,49';15:44,99;Alphecca;0,43 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 3;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/84279b22817a8cb4f759036089c94113
Winter / Hiver;LMi;Leo Minor;Petit Lion;Little Lion;231.956;+35° 10,08';10:23,21;Praecipua;0,56 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 2;Hevelius;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/10bbfa3517239da7e2867d508576ba65
Autumn / Automne;Per;Perseus;Persée;Perseus;614.997;+47° 02,79';03:28,26;Mirfak;1,49 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 1;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/80c6c4bd24c54dd4d5e562b6970136b7
Southern hemisphere constellation / Constellation de l'hémisphère sud;Car;Carina;Carène;Keel;494.184;-62° 11,16';09:48,70;Canopus;1,20 %;South constellation;South ecliptic constellation;Milky Way Equator;South Hemisphere Quadrant 2;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/769e6ae113117efb6795dca147e108b5
Southern hemisphere constellation / Constellation de l'hémisphère sud;Aps;Apus;Oiseau de paradis;Bird of Paradise;206.327;-78° 57,00';16:37,49;α Apodis;0,50 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 3;Bayer;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/9ea6e4e8dfef834b5e0e73d324fc4e0c
Southern hemisphere constellation / Constellation de l'hémisphère sud;Cha;Chamaeleon;Caméléon;Chameleon;131.592;-79° 33,30';11:00,96;α Chamaeleontis;0,32 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 2;Bayer;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/0c259c08cbc362b16b38cd30c2a1c9c4
Summer / Été;Cap;Capricornus;Capricorne;Goat;413.947;-19° 07,39';21:07,93;Deneb Algedi;1,00 %;South constellation;Zodiacal constellation # 12;;South Hemisphere Quadrant 4;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/0169afa5aa40d1acc7ee1633d03571a0
Winter / Hiver;Cnc;Cancer;Cancer;Crab;505.872;+17° 24,35';08:42,52;Tarf;1,23 %;North constellation;Zodiacal constellation # 5;;North Hemisphere Quadrant 2;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/79d9513ce788773f3ed6083e399070b5
Southern hemisphere constellation / Constellation de l'hémisphère sud;For;Fornax;Fourneau;Furnace;397.502;-30° 48,07';02:45,74;Dalim;0,96 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/a8dc6df2cf0de9654bd3a092958ffa69
Winter / Hiver;Crt;Crater;Coupe;Goblet;282.398;-16° 07,74';11:29,28;δ Crateris;0,68 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 2;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/72975ff965d457cf8567ba4e15fea89d
Southern hemisphere constellation / Constellation de l'hémisphère sud;Pup;Puppis;Poupe;Stern,Poop deck;673.434;-32° 28,64';07:39,91;Naos;1,63 %;South constellation;South ecliptic constellation;Milky Way Equator;South Hemisphere Quadrant 2;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/d96d6cc9429462f91724ffc97297a9be
Spring / Printemps;Sco;Scorpius;Scorpion;Scorpion;496.783;-32° 46,89';16:47,48;Antares;1,20 %;South constellation;Zodiacal constellation # 9;Milky Way Equator;South Hemisphere Quadrant 3;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/11c57946eb9a7443e3bb3eb2ab23bdd3
Winter / Hiver;Ori;Orion;Orion;Orion, Hunter;594.12;+06° 14,94';05:29,84;Rigel;1,44 %;Equatorial constellation;South ecliptic constellation;Milky Way Equator;North Hemisphere Quadrant 1;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/80d7fa5f1d8b835715983aeda3447030
Southern hemisphere constellation / Constellation de l'hémisphère sud;Pic;Pictor;Peintre;Painter's Easel;246.739;-56° 29,45';06:02,72;α Pictoris;0,60 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 1;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/63cac1fa8610d126e1b9addcde8e1a11
